delta_percentile,rating_level,game_type,Apertura,Conteggio
50-75,too_low,rapid,Sicilian Defense: Nimzowitsch Variation,1
50-75,too_low,rapid,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,4
50-75,too_low,rapid,"Sicilian Defense: Nyezhmetdinov-Rossolimo Attack, Fianchetto Variation",2
50-75,too_low,rapid,Sicilian Defense: O'Kelly Variation,3
50-75,too_low,rapid,"Sicilian Defense: O'Kelly Variation, Normal System",1
50-75,too_low,rapid,Sicilian Defense: Old Sicilian,31
50-75,too_low,rapid,Sicilian Defense: Open,9
50-75,too_low,rapid,Sicilian Defense: Pin Variation,1
50-75,too_low,rapid,Sicilian Defense: Quinteros Variation,1
50-75,too_low,rapid,Sicilian Defense: Smith-Morra Gambit,17
50-75,too_low,rapid,Sicilian Defense: Smith-Morra Gambit Accepted,19
50-75,too_low,rapid,"Sicilian Defense: Smith-Morra Gambit Accepted, Morphy Defense",1
50-75,too_low,rapid,"Sicilian Defense: Smith-Morra Gambit Accepted, Pin Defense",1
50-75,too_low,rapid,"Sicilian Defense: Smith-Morra Gambit Declined, Center Formation",1
50-75,too_low,rapid,Sicilian Defense: Smith-Morra Gambit Deferred,1
50-75,too_low,rapid,Sicilian Defense: Staunton-Cochrane Variation,4
50-75,too_low,rapid,"Sicilian Defense: Taimanov Variation, Normal Variation",1
50-75,too_low,rapid,"Sicilian Defense: Wing Gambit, Marshall Variation",1
50-75,too_low,rapid,Slav Defense,19
50-75,too_low,rapid,Slav Defense: Breyer Variation,1
50-75,too_low,rapid,Slav Defense: Exchange Variation,22
50-75,too_low,rapid,"Slav Defense: Exchange Variation, Schallopp Variation",2
50-75,too_low,rapid,Slav Defense: Geller Gambit,3
50-75,too_low,rapid,Slav Defense: Modern Line,7
50-75,too_low,rapid,Slav Defense: Quiet Variation,4
50-75,too_low,rapid,"Slav Defense: Quiet Variation, Pin Defense",1
50-75,too_low,rapid,"Slav Defense: Slav Gambit, Alekhine Attack",2
50-75,too_low,rapid,Slav Defense: Three Knights Variation,8
50-75,too_low,rapid,Slav Indian,1
50-75,too_low,rapid,Sodium Attack,1
50-75,too_low,rapid,St. George Defense,6
50-75,too_low,rapid,Three Knights Opening,58
50-75,too_low,rapid,Three Knights Opening: Schlechter Variation,2
50-75,too_low,rapid,Three Knights Opening: Winawer Defense,1
50-75,too_low,rapid,Torre Attack: Classical Defense,2
50-75,too_low,rapid,Torre Attack: Fianchetto Defense,2
50-75,too_low,rapid,"Trompowsky Attack: Classical Defense, Big Center Variation",1
50-75,too_low,rapid,Van Geet Opening,2
50-75,too_low,rapid,Van Geet Opening: Dougherty Gambit,2
50-75,too_low,rapid,Van Geet Opening: Dunst-Perrenet Gambit,4
50-75,too_low,rapid,Van Geet Opening: Napoleon Attack,3
50-75,too_low,rapid,Van Geet Opening: Reversed Nimzowitsch,2
50-75,too_low,rapid,Van't Kruijs Opening,42
50-75,too_low,rapid,"Vienna Gambit, with Max Lange Defense",3
50-75,too_low,rapid,"Vienna Gambit, with Max Lange Defense: Knight Variation",1
50-75,too_low,rapid,Vienna Game,12
50-75,too_low,rapid,Vienna Game: Anderssen Defense,5
50-75,too_low,rapid,Vienna Game: Falkbeer Variation,7
50-75,too_low,rapid,Vienna Game: Hamppe-Meitner Variation,1
50-75,too_low,rapid,Vienna Game: Max Lange Defense,6
50-75,too_low,rapid,Vienna Game: Paulsen Variation,1
50-75,too_low,rapid,Vienna Game: Stanley Variation,10
50-75,too_low,rapid,"Vienna Game: Stanley Variation, Meitner-Mieses Gambit",1
50-75,too_low,rapid,"Vienna Game: Stanley Variation, Three Knights Variation",4
50-75,too_low,rapid,Vienna Game: Vienna Gambit,9
50-75,too_low,rapid,"Vienna Game: Vienna Gambit, Main Line",1
50-75,too_low,rapid,Wade Defense,1
50-75,too_low,rapid,Ware Defense,1
50-75,too_low,rapid,Ware Opening,1
50-75,too_low,rapid,Yusupov-Rubinstein System,4
50-75,too_low,rapid,Zukertort Defense: Sicilian Knight Variation,1
50-75,too_low,rapid,Zukertort Opening,8
50-75,too_low,rapid,Zukertort Opening: Arctic Defense,2
50-75,too_low,rapid,Zukertort Opening: Black Mustang Defense,6
50-75,too_low,rapid,Zukertort Opening: Dutch Variation,1
50-75,too_low,rapid,Zukertort Opening: Kingside Fianchetto,8
50-75,too_low,rapid,Zukertort Opening: Lemberger Gambit,1
50-75,too_low,rapid,Zukertort Opening: Nimzo-Larsen Variation,1
50-75,too_low,rapid,Zukertort Opening: Old Indian Attack,5
50-75,too_low,rapid,Zukertort Opening: Pirc Invitation,2
50-75,too_low,rapid,Zukertort Opening: Queen's Gambit Invitation,8
50-75,too_low,rapid,Zukertort Opening: Queenside Fianchetto Variation,5
50-75,too_low,rapid,Zukertort Opening: Reversed Mexican Defense,3
50-75,too_low,rapid,Zukertort Opening: Sicilian Invitation,5
50-75,too_low,rapid,Zukertort Opening: Slav Invitation,1
50-75,too_low,rapid,Zukertort Opening: Tennison Gambit,28
50-75,too_low,rapid,"Zukertort Opening: Tennison Gambit, Brigg's Trap",1
50-75,too_low,rapid,Zukertort Opening: Vos Gambit,1
50-75,too_low,rapid,Zukertort Opening: Wade Defense,4
75-100,advanced,blitz,Alekhine Defense,80
75-100,advanced,blitz,Alekhine Defense: Balogh Variation,2
75-100,advanced,blitz,Alekhine Defense: Brooklyn Variation,5
75-100,advanced,blitz,Alekhine Defense: Exchange Variation,50
75-100,advanced,blitz,"Alekhine Defense: Exchange Variation, Voronezh Variation",3
75-100,advanced,blitz,Alekhine Defense: Four Pawns Attack,43
75-100,advanced,blitz,"Alekhine Defense: Four Pawns Attack, Cambridge Gambit",2
75-100,advanced,blitz,"Alekhine Defense: Four Pawns Attack, Fianchetto Variation",22
75-100,advanced,blitz,"Alekhine Defense: Four Pawns Attack, Main Line",8
75-100,advanced,blitz,"Alekhine Defense: Four Pawns Attack, Trifunovic Variation",5
75-100,advanced,blitz,"Alekhine Defense: Hunt Variation, Lasker Simul Gambit",2
75-100,advanced,blitz,Alekhine Defense: Kmoch Variation,3
75-100,advanced,blitz,Alekhine Defense: Krejcik Variation,4
75-100,advanced,blitz,"Alekhine Defense: Krejcik Variation, Krejcik Gambit",2
75-100,advanced,blitz,Alekhine Defense: Maróczy Variation,24
75-100,advanced,blitz,"Alekhine Defense: Modern Variation, Alburt Variation",18
75-100,advanced,blitz,"Alekhine Defense: Modern Variation, Alekhine Gambit",1
75-100,advanced,blitz,"Alekhine Defense: Modern Variation, Flohr Variation",1
75-100,advanced,blitz,"Alekhine Defense: Modern Variation, Keres Variation",2
75-100,advanced,blitz,"Alekhine Defense: Modern Variation, Larsen Variation",14
75-100,advanced,blitz,"Alekhine Defense: Modern Variation, Larsen-Haakert Variation",3
75-100,advanced,blitz,"Alekhine Defense: Modern Variation, Main Line",8
75-100,advanced,blitz,"Alekhine Defense: Modern Variation, Schmid Variation",3
75-100,advanced,blitz,Alekhine Defense: Mokele Mbembe,4
75-100,advanced,blitz,"Alekhine Defense: Mokele Mbembe, Vavra Defense",2
75-100,advanced,blitz,Alekhine Defense: Normal Variation,31
75-100,advanced,blitz,Alekhine Defense: O'Sullivan Gambit,1
75-100,advanced,blitz,Alekhine Defense: Scandinavian Variation,57
75-100,advanced,blitz,"Alekhine Defense: Scandinavian Variation, Geschev Gambit",8
75-100,advanced,blitz,Alekhine Defense: Steiner Variation,1
75-100,advanced,blitz,Alekhine Defense: Sämisch Attack,11
75-100,advanced,blitz,Alekhine Defense: The Squirrel,1
75-100,advanced,blitz,Alekhine Defense: Two Pawns Attack,14
75-100,advanced,blitz,"Alekhine Defense: Two Pawns Attack, Lasker Variation",20
75-100,advanced,blitz,"Alekhine Defense: Two Pawns Attack, Tate Variation",4
75-100,advanced,blitz,Alekhine Defense: Welling Variation,1
75-100,advanced,blitz,Amar Opening,5
75-100,advanced,blitz,Anderssen's Opening,19
75-100,advanced,blitz,Australian Defense,2
75-100,advanced,blitz,Barnes Defense,7
75-100,advanced,blitz,Barnes Opening,20
75-100,advanced,blitz,Barnes Opening: Hammerschlag,2
75-100,advanced,blitz,Benko Gambit,29
75-100,advanced,blitz,Benko Gambit Accepted: Central Storming Variation,1
75-100,advanced,blitz,Benko Gambit Accepted: Fully Accepted Variation,11
75-100,advanced,blitz,Benko Gambit Accepted: King Walk Variation,7
75-100,advanced,blitz,Benko Gambit Accepted: Modern Variation,5
75-100,advanced,blitz,Benko Gambit Accepted: Pawn Return Variation,16
75-100,advanced,blitz,Benko Gambit Accepted: Yugoslav,3
75-100,advanced,blitz,Benko Gambit Declined: Main Line,2
75-100,advanced,blitz,Benko Gambit Declined: Quiet Line,1
75-100,advanced,blitz,Benko Gambit: Zaitsev System,7
75-100,advanced,blitz,"Benko Gambit: Zaitsev Variation, Nescafe Frappe Attack",1
75-100,advanced,blitz,Benoni Defense,37
75-100,advanced,blitz,Benoni Defense: Benoni Gambit Accepted,42
75-100,advanced,blitz,Benoni Defense: Benoni-Indian Defense,12
75-100,advanced,blitz,"Benoni Defense: Benoni-Indian Defense, Kingside Move Order",11
75-100,advanced,blitz,Benoni Defense: Classical Variation,6
75-100,advanced,blitz,"Benoni Defense: Classical Variation, Averbakh-Grivas Attack",1
75-100,advanced,blitz,"Benoni Defense: Classical Variation, Czerniak Defense",1
75-100,advanced,blitz,"Benoni Defense: Classical Variation, Czerniak Defense, Tal Line",1
75-100,advanced,blitz,"Benoni Defense: Classical Variation, Main Line",2
75-100,advanced,blitz,"Benoni Defense: Classical Variation, New York Variation",4
75-100,advanced,blitz,Benoni Defense: Czech Benoni Defense,28
75-100,advanced,blitz,Benoni Defense: Fianchetto Variation,3
75-100,advanced,blitz,Benoni Defense: Four Pawns Attack,5
75-100,advanced,blitz,"Benoni Defense: Four Pawns Attack, Main Line",7
75-100,advanced,blitz,Benoni Defense: French Benoni,28
75-100,advanced,blitz,Benoni Defense: Hromádka System,26
75-100,advanced,blitz,Benoni Defense: King's Indian System,5
75-100,advanced,blitz,Benoni Defense: King's Pawn Line,46
75-100,advanced,blitz,"Benoni Defense: King's Pawn Line, with Bg5",2
75-100,advanced,blitz,Benoni Defense: Modern Variation,7
75-100,advanced,blitz,Benoni Defense: Old Benoni,236
75-100,advanced,blitz,"Benoni Defense: Old Benoni, Mujannah Formation",2
75-100,advanced,blitz,"Benoni Defense: Old Benoni, Schmid Variation",5
75-100,advanced,blitz,Benoni Defense: Semi-Benoni,4
75-100,advanced,blitz,Benoni Defense: Snail Variation,1
75-100,advanced,blitz,Benoni Defense: Taimanov Variation,4
75-100,advanced,blitz,Benoni Defense: Uhlmann Variation,2
75-100,advanced,blitz,Benoni Defense: Weenink Variation,1
75-100,advanced,blitz,Bird Opening,93
75-100,advanced,blitz,Bird Opening: Dutch Variation,72
75-100,advanced,blitz,"Bird Opening: Dutch Variation, Batavo Gambit",77
75-100,advanced,blitz,Bird Opening: From's Gambit,7
75-100,advanced,blitz,"Bird Opening: From's Gambit, Lasker Variation",4
75-100,advanced,blitz,Bird Opening: Horsefly Defense,2
75-100,advanced,blitz,Bird Opening: Lasker Variation,6
75-100,advanced,blitz,Bird Opening: Schlechter Gambit,1
75-100,advanced,blitz,Bird Opening: Sturm Gambit,1
75-100,advanced,blitz,Bird Opening: Williams Gambit,2
75-100,advanced,blitz,Bishop's Opening,230
75-100,advanced,blitz,Bishop's Opening: Berlin Defense,166
75-100,advanced,blitz,"Bishop's Opening: Berlin Defense, Greco Gambit",1
75-100,advanced,blitz,Bishop's Opening: Boden-Kieseritzky Gambit,3
75-100,advanced,blitz,Bishop's Opening: Boi Variation,40
75-100,advanced,blitz,Bishop's Opening: Calabrese Countergambit,3
75-100,advanced,blitz,"Bishop's Opening: Calabrese Countergambit, Jaenisch Variation",2
75-100,advanced,blitz,Bishop's Opening: Khan Gambit,6
75-100,advanced,blitz,Bishop's Opening: Lewis Gambit,4
75-100,advanced,blitz,Bishop's Opening: Philidor Counterattack,7
75-100,advanced,blitz,Bishop's Opening: Philidor Variation,2
75-100,advanced,blitz,Bishop's Opening: Ponziani Gambit,4
75-100,advanced,blitz,Bishop's Opening: Urusov Gambit,2
75-100,advanced,blitz,Bishop's Opening: Vienna Hybrid,54
75-100,advanced,blitz,"Bishop's Opening: Vienna Hybrid, Hromádka Variation",7
75-100,advanced,blitz,"Bishop's Opening: Vienna Hybrid, Spielmann Attack",15
75-100,advanced,blitz,Bishop's Opening: Warsaw Gambit,1
75-100,advanced,blitz,Blackmar-Diemer Gambit,12
75-100,advanced,blitz,Blackmar-Diemer Gambit Accepted: Bogoljubow Defense,3
75-100,advanced,blitz,"Blackmar-Diemer Gambit Accepted: Bogoljubow Defense, Studier Attack",3
75-100,advanced,blitz,Blackmar-Diemer Gambit Accepted: Euwe Defense,18
75-100,advanced,blitz,Blackmar-Diemer Gambit Accepted: Gunderam Defense,2
75-100,advanced,blitz,Blackmar-Diemer Gambit Accepted: Kaulich Defense,1
75-100,advanced,blitz,Blackmar-Diemer Gambit Accepted: Pietrowsky Defense,5
75-100,advanced,blitz,Blackmar-Diemer Gambit Accepted: Ryder Gambit,2
75-100,advanced,blitz,Blackmar-Diemer Gambit Accepted: Teichmann Defense,19
75-100,advanced,blitz,"Blackmar-Diemer Gambit Accepted: Teichmann Defense, Ciesielski Variation",2
75-100,advanced,blitz,"Blackmar-Diemer Gambit Accepted: Teichmann Defense, Seidel-Hall Attack",1
75-100,advanced,blitz,Blackmar-Diemer Gambit Accepted: Ziegler Defense,10
75-100,advanced,blitz,Blackmar-Diemer Gambit Declined: Brombacher Countergambit,2
75-100,advanced,blitz,Blackmar-Diemer Gambit Declined: Elbert Countergambit,2
75-100,advanced,blitz,Blackmar-Diemer Gambit Declined: Lamb Defense,1
75-100,advanced,blitz,Blackmar-Diemer Gambit Declined: Langeheinicke Defense,3
75-100,advanced,blitz,Blackmar-Diemer Gambit Declined: O'Kelly Defense,18
75-100,advanced,blitz,Blackmar-Diemer Gambit Declined: Vienna Defense,10
75-100,advanced,blitz,Blackmar-Diemer Gambit Declined: Weinsbach Defense,7
75-100,advanced,blitz,Blackmar-Diemer Gambit: Blackmar Gambit,5
75-100,advanced,blitz,Blackmar-Diemer Gambit: Fritz Attack,2
75-100,advanced,blitz,"Blackmar-Diemer Gambit: Lemberger Countergambit, Lange Gambit",1
75-100,advanced,blitz,Blackmar-Diemer Gambit: Netherlands Variation,4
75-100,advanced,blitz,Blackmar-Diemer Gambit: Reversed Albin Countergambit,2
75-100,advanced,blitz,Blackmar-Diemer Gambit: Zeller Defense,2
75-100,advanced,blitz,Blackmar-Diemer Gambit: von Popiel Gambit,4
75-100,advanced,blitz,Blumenfeld Countergambit,4
75-100,advanced,blitz,Blumenfeld Countergambit Accepted,1
75-100,advanced,blitz,Bogo-Indian Defense: Exchange Variation,8
75-100,advanced,blitz,Bogo-Indian Defense: Grünfeld Variation,9
75-100,advanced,blitz,Bogo-Indian Defense: Nimzowitsch Variation,3
75-100,advanced,blitz,Bogo-Indian Defense: Retreat Variation,4
75-100,advanced,blitz,Bogo-Indian Defense: Vitolins Variation,2
75-100,advanced,blitz,Bogo-Indian Defense: Wade-Smyslov Variation,5
75-100,advanced,blitz,Borg Defense,12
75-100,advanced,blitz,Borg Defense: Borg Gambit,19
75-100,advanced,blitz,Canard Opening,22
75-100,advanced,blitz,Caro-Kann Defense,651
75-100,advanced,blitz,Caro-Kann Defense: Accelerated Panov Attack,73
75-100,advanced,blitz,"Caro-Kann Defense: Accelerated Panov Attack, Modern Variation",99
75-100,advanced,blitz,"Caro-Kann Defense: Accelerated Panov Attack, Open Variation",6
75-100,advanced,blitz,Caro-Kann Defense: Advance Variation,117
75-100,advanced,blitz,"Caro-Kann Defense: Advance Variation, Bayonet Attack",53
75-100,advanced,blitz,"Caro-Kann Defense: Advance Variation, Botvinnik-Carls Defense",161
75-100,advanced,blitz,"Caro-Kann Defense: Advance Variation, Bronstein Variation",12
75-100,advanced,blitz,"Caro-Kann Defense: Advance Variation, Prins Attack",1
75-100,advanced,blitz,"Caro-Kann Defense: Advance Variation, Short Variation",105
75-100,advanced,blitz,"Caro-Kann Defense: Advance Variation, Tal Variation",65
75-100,advanced,blitz,"Caro-Kann Defense: Advance Variation, Van der Wiel Attack",25
75-100,advanced,blitz,"Caro-Kann Defense: Advance, Short Variation",1
75-100,advanced,blitz,Caro-Kann Defense: Alekhine Gambit,9
75-100,advanced,blitz,Caro-Kann Defense: Alien Gambit,6
75-100,advanced,blitz,Caro-Kann Defense: Apocalypse Attack,22
75-100,advanced,blitz,Caro-Kann Defense: Breyer Variation,73
75-100,advanced,blitz,Caro-Kann Defense: Bronstein-Larsen Variation,9
75-100,advanced,blitz,Caro-Kann Defense: Campomanes Attack,30
75-100,advanced,blitz,Caro-Kann Defense: Classical Variation,118
75-100,advanced,blitz,"Caro-Kann Defense: Classical Variation, Flohr Variation",21
75-100,advanced,blitz,"Caro-Kann Defense: Classical Variation, Lobron System",9
75-100,advanced,blitz,"Caro-Kann Defense: Classical Variation, Main Line",43
75-100,advanced,blitz,"Caro-Kann Defense: Classical Variation, Maróczy Attack",8
75-100,advanced,blitz,"Caro-Kann Defense: Classical Variation, Seirawan Variation",4
75-100,advanced,blitz,"Caro-Kann Defense: Classical Variation, Spassky Variation",37
75-100,advanced,blitz,Caro-Kann Defense: Endgame Offer,31
75-100,advanced,blitz,Caro-Kann Defense: Endgame Variation,26
75-100,advanced,blitz,Caro-Kann Defense: Euwe Attack,3
75-100,advanced,blitz,Caro-Kann Defense: Exchange Variation,631
75-100,advanced,blitz,"Caro-Kann Defense: Exchange Variation, Rubinstein Variation",67
75-100,advanced,blitz,Caro-Kann Defense: Finnish Variation,2
75-100,advanced,blitz,Caro-Kann Defense: Forgacs Variation,21
75-100,advanced,blitz,Caro-Kann Defense: Goldman Variation,4
75-100,advanced,blitz,Caro-Kann Defense: Gurgenidze Counterattack,2
75-100,advanced,blitz,Caro-Kann Defense: Gurgenidze System,5
75-100,advanced,blitz,Caro-Kann Defense: Hector Gambit,2
75-100,advanced,blitz,Caro-Kann Defense: Hillbilly Attack,36
75-100,advanced,blitz,"Caro-Kann Defense: Hillbilly Attack, Schaeffer Gambit",3
75-100,advanced,blitz,Caro-Kann Defense: Karpov Variation,56
75-100,advanced,blitz,"Caro-Kann Defense: Karpov Variation, Modern Variation",1
75-100,advanced,blitz,"Caro-Kann Defense: Karpov Variation, Modern Variation, Ivanchuk Defense",1
75-100,advanced,blitz,"Caro-Kann Defense: Karpov Variation, Modern Variation, Kasparov Attack",19
75-100,advanced,blitz,Caro-Kann Defense: Main Line,108
75-100,advanced,blitz,Caro-Kann Defense: Maróczy Variation,128
75-100,advanced,blitz,"Caro-Kann Defense: Maróczy Variation, Maróczy Gambit",19
75-100,advanced,blitz,Caro-Kann Defense: Masi Variation,1
75-100,advanced,blitz,Caro-Kann Defense: Mieses Gambit,1
75-100,advanced,blitz,Caro-Kann Defense: Modern Variation,7
75-100,advanced,blitz,Caro-Kann Defense: Panov Attack,90
75-100,advanced,blitz,"Caro-Kann Defense: Panov Attack, Fianchetto Defense",37
75-100,advanced,blitz,"Caro-Kann Defense: Panov Attack, Fianchetto Defense, Fianchetto Gambit",10
75-100,advanced,blitz,"Caro-Kann Defense: Panov Attack, Gunderam Attack",10
75-100,advanced,blitz,"Caro-Kann Defense: Panov Attack, Main Line",10
75-100,advanced,blitz,"Caro-Kann Defense: Panov Attack, Modern Defense",37
75-100,advanced,blitz,"Caro-Kann Defense: Panov Attack, Modern Defense, Carlsbad Line",2
75-100,advanced,blitz,"Caro-Kann Defense: Panov Attack, Modern Defense, Mieses Line",30
75-100,advanced,blitz,Caro-Kann Defense: Rasa-Studier Gambit,26
75-100,advanced,blitz,Caro-Kann Defense: Spike Variation,1
75-100,advanced,blitz,Caro-Kann Defense: Tartakower Variation,172
75-100,advanced,blitz,Caro-Kann Defense: Two Knights Attack,111
75-100,advanced,blitz,"Caro-Kann Defense: Two Knights Attack, Mindeno Variation",21
75-100,advanced,blitz,"Caro-Kann Defense: Two Knights Attack, Mindeno Variation, Exchange Line",23
75-100,advanced,blitz,"Caro-Kann Defense: Two Knights Attack, Mindeno Variation, Retreat Line",2
75-100,advanced,blitz,Caro-Kann Defense: Ulysses Gambit,2
75-100,advanced,blitz,Caro-Kann Defense: von Hennig Gambit,12
75-100,advanced,blitz,Carr Defense,3
75-100,advanced,blitz,Catalan Opening,38
75-100,advanced,blitz,Catalan Opening: Closed,40
75-100,advanced,blitz,"Catalan Opening: Closed Variation, Traditional Variation",1
75-100,advanced,blitz,"Catalan Opening: Closed, Main Line",9
75-100,advanced,blitz,Catalan Opening: Open Defense,18
75-100,advanced,blitz,"Catalan Opening: Open Defense, Classical Line",37
75-100,advanced,blitz,"Catalan Opening: Open Defense, Modern Sharp Variation",1
75-100,advanced,blitz,Center Game,22
75-100,advanced,blitz,Center Game: Berger Variation,8
75-100,advanced,blitz,Center Game: Halasz-McDonnell Gambit,5
75-100,advanced,blitz,Center Game: Hall Variation,3
75-100,advanced,blitz,Center Game: Kieseritzky Variation,7
75-100,advanced,blitz,Center Game: Lanc-Arnold Gambit,1
75-100,advanced,blitz,Center Game: Normal Variation,24
75-100,advanced,blitz,Center Game: Paulsen Attack Variation,16
75-100,advanced,blitz,Center Game: von der Lasa Gambit,8
75-100,advanced,blitz,Clemenz Opening,8
75-100,advanced,blitz,Creepy Crawly Formation: Classical Defense,1
75-100,advanced,blitz,Czech Defense,57
75-100,advanced,blitz,Danish Gambit,13
75-100,advanced,blitz,Danish Gambit Accepted,53
75-100,advanced,blitz,Danish Gambit Accepted: Classical Defense,4
75-100,advanced,blitz,Danish Gambit Accepted: Copenhagen Defense,2
75-100,advanced,blitz,Danish Gambit Accepted: Schlechter Defense,2
75-100,advanced,blitz,Danish Gambit Declined: Sörensen Defense,6
75-100,advanced,blitz,Duras Gambit,25
75-100,advanced,blitz,Dutch Defense,238
75-100,advanced,blitz,Dutch Defense: Alapin Variation,1
75-100,advanced,blitz,Dutch Defense: Blackburne Variation,1
75-100,advanced,blitz,Dutch Defense: Blackmar's Second Gambit,3
75-100,advanced,blitz,Dutch Defense: Classical Variation,12
75-100,advanced,blitz,"Dutch Defense: Classical Variation, Ilyin-Zhenevsky Variation, Alatortsev-Lisitsyn Line",1
75-100,advanced,blitz,Dutch Defense: Fianchetto Attack,9
75-100,advanced,blitz,Dutch Defense: Hopton Attack,46
75-100,advanced,blitz,Dutch Defense: Korchnoi Attack,6
75-100,advanced,blitz,Dutch Defense: Krause Variation,24
75-100,advanced,blitz,Dutch Defense: Krejcik Gambit,6
75-100,advanced,blitz,"Dutch Defense: Krejcik Gambit, Tate Gambit",2
75-100,advanced,blitz,Dutch Defense: Leningrad Variation,4
75-100,advanced,blitz,"Dutch Defense: Leningrad Variation, Matulovic Variation",13
75-100,advanced,blitz,"Dutch Defense: Leningrad Variation, Warsaw Variation",45
75-100,advanced,blitz,"Dutch Defense: Manhattan Gambit, Anti-Classical Line",2
75-100,advanced,blitz,"Dutch Defense: Manhattan Gambit, Anti-Leningrad",3
75-100,advanced,blitz,"Dutch Defense: Manhattan Gambit, Anti-Modern",3
75-100,advanced,blitz,Dutch Defense: Nimzo-Dutch Variation,4
75-100,advanced,blitz,Dutch Defense: Normal Variation,7
75-100,advanced,blitz,Dutch Defense: Queen's Knight Variation,33
75-100,advanced,blitz,Dutch Defense: Raphael Variation,41
75-100,advanced,blitz,Dutch Defense: Rubinstein Variation,12
75-100,advanced,blitz,Dutch Defense: Semi-Leningrad Variation,16
75-100,advanced,blitz,Dutch Defense: Staunton Gambit,8
75-100,advanced,blitz,Dutch Defense: Staunton Gambit Accepted,7
75-100,advanced,blitz,"Dutch Defense: Staunton Gambit, Chigorin Variation",18
75-100,advanced,blitz,"Dutch Defense: Staunton Gambit, Lasker Variation",1
75-100,advanced,blitz,"Dutch Defense: Staunton Gambit, Tartakower Variation",2
75-100,advanced,blitz,Dutch Defense: Stonewall Variation,4
75-100,advanced,blitz,"Dutch Defense: Stonewall Variation, Modern Variation",4
75-100,advanced,blitz,East Indian Defense,81
75-100,advanced,blitz,Elephant Gambit,45
75-100,advanced,blitz,Elephant Gambit: Maróczy Gambit,3
75-100,advanced,blitz,Elephant Gambit: Paulsen Countergambit,23
75-100,advanced,blitz,English Defense,86
75-100,advanced,blitz,English Defense: Perrin Variation,1
75-100,advanced,blitz,English Opening,132
75-100,advanced,blitz,English Opening: Agincourt Defense,95
75-100,advanced,blitz,"English Opening: Agincourt Defense, Bogoljubow Defense",1
75-100,advanced,blitz,"English Opening: Agincourt Defense, Catalan Defense",1
75-100,advanced,blitz,"English Opening: Agincourt Defense, Catalan Defense Accepted",3
75-100,advanced,blitz,"English Opening: Agincourt Defense, Catalan Defense, Semi-Slav Defense",8
75-100,advanced,blitz,"English Opening: Agincourt Defense, Keres Defense",3
75-100,advanced,blitz,"English Opening: Agincourt Defense, Kurajica Defense",2
75-100,advanced,blitz,"English Opening: Agincourt Defense, Neo-Catalan Declined",12
75-100,advanced,blitz,"English Opening: Agincourt Defense, Wimpy System",1
75-100,advanced,blitz,English Opening: Anglo-Dutch Defense,23
75-100,advanced,blitz,English Opening: Anglo-Grünfeld Defense,6
75-100,advanced,blitz,English Opening: Anglo-Indian Defense,77
75-100,advanced,blitz,"English Opening: Anglo-Indian Defense, Anglo-Grünfeld Variation",5
75-100,advanced,blitz,"English Opening: Anglo-Indian Defense, Anti-Anti-Grünfeld",3
75-100,advanced,blitz,"English Opening: Anglo-Indian Defense, Flohr-Mikenas-Carls Variation, Nei Gambit",4
75-100,advanced,blitz,"English Opening: Anglo-Indian Defense, Hedgehog System",44
75-100,advanced,blitz,"English Opening: Anglo-Indian Defense, King's Indian Formation",30
75-100,advanced,blitz,"English Opening: Anglo-Indian Defense, King's Indian Formation, Double Fianchetto",1
75-100,advanced,blitz,"English Opening: Anglo-Indian Defense, King's Knight Variation",18
75-100,advanced,blitz,"English Opening: Anglo-Indian Defense, Nimzo-English",1
75-100,advanced,blitz,"English Opening: Anglo-Indian Defense, Old Indian Formation",9
75-100,advanced,blitz,"English Opening: Anglo-Indian Defense, Queen's Indian Formation",6
75-100,advanced,blitz,"English Opening: Anglo-Indian Defense, Queen's Knight Variation",95
75-100,advanced,blitz,"English Opening: Anglo-Indian Defense, Scandinavian Defense",4
75-100,advanced,blitz,"English Opening: Anglo-Indian Defense, Scandinavian Defense, Exchange Variation",4
75-100,advanced,blitz,English Opening: Anglo-Lithuanian Variation,1
75-100,advanced,blitz,English Opening: Anglo-Scandinavian Defense,23
75-100,advanced,blitz,"English Opening: Anglo-Scandinavian Defense, Löhn Gambit",2
75-100,advanced,blitz,"English Opening: Anglo-Scandinavian Defense, Malvinas Variation",3
75-100,advanced,blitz,"English Opening: Anglo-Scandinavian Defense, Schulz Gambit",7
75-100,advanced,blitz,English Opening: Carls-Bremen System,19
75-100,advanced,blitz,English Opening: Caro-Kann Defensive System,76
75-100,advanced,blitz,"English Opening: Four Knights System, Nimzowitsch Variation",2
75-100,advanced,blitz,English Opening: Great Snake Variation,119
75-100,advanced,blitz,English Opening: Jaenisch Gambit,3
75-100,advanced,blitz,English Opening: King's English Variation,70
75-100,advanced,blitz,"English Opening: King's English Variation, Closed System",1
75-100,advanced,blitz,"English Opening: King's English Variation, Closed System, Full Symmetry",1
75-100,advanced,blitz,"English Opening: King's English Variation, Four Knights Variation",5
75-100,advanced,blitz,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line",12
75-100,advanced,blitz,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line, with .. d6",5
75-100,advanced,blitz,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line, with .. d6, Be7",1
